hhconnection,pubtapstandpipe,tubewellborehole,prowell,prospring,rainwater,unprowell,unprospring,carttruck,bottled,surface,otherwater,missingwater,improvedotherwater,unimprovedotherwater,halfimprovedwater,unknownwater
eau du robinet dans logement,Public Standpipe,public/neighbor's tubewell,Well in the house/ patio,,Well or cistern,public well or tank,,"Tanker truck, vendor",,pond /lake,,,"Trae,comp. de vecino",,,
eau du robinet ds le logement,public standpipe or hand pump,puit ... pompe,Well in the yard,,Água da chuva,"public well, cement, not covered",,"Tanker Truck, Vendor",,pond /tank/lake,,,water factory,,,
entrega de agua a domicilio (pipa),Public standpipe or handpump,puits a pompe,well in yard,,,"public well, traditional",,"tanker truck, vendor",,pond lake,,,water in house,,,
faucet in residence,public tab,puits a pompe/forage,well in yard (spring),,,public well/tank,,"Tanker truck, vendor or otherwise bought",,"Pond, lake",,,water plant,,,
faucet not in reside,Public tab,Puits a pompe/forage,well into dwelling/yard/plot,,,public- well or tank,,"tanker truck, vendor or otherwise bought- hh member goes to collect",,"pond, lake",,,water purification station,,,
general network,public tab/standpipe,puits avec pompe,well into residence/dwelling,,,puit non protegee,,"tanker truck, vendor or otherwise bought- vendor brings to hh",,"pond, rever, or stream",,,water purifier,,,
General network- building tap,Public tap,puits equipe de pompe,well protected,,,puits,,"tanker truck, vendor, or otherwise bought",,"pond, river or stream",,,water station,,,
General network- tap outside the building,Public Tap,puits moderne/forage,Well sani-tary,,,Puits,,tanker truck/ cistern,,"Pond, River or Stream",,,Water supply at home,,,
General network-tap house,public tap,puits … pompe/forage,well water (residence or yard),,,puits ds la conces,,tanker truck/bowser,,"Pond, river or stream",,,water supply is close to the building,,,
Govt. to house,public tap / neighbors house,puits à pompe,well with cover,,,Puits non protege,,tanker truck/cart with tank/drum,,"pond, river, or stream",,,wather from neighbors,,,
heighbour's tap,public tap or standpipe,puits à pompe/forage,Well without Pump Covered,,,puits non protege,,tanker truck/oth veh,,"pond, river, stream",,,well (in concession),,,
individual connection to network,Public tap or standpipe,"Puits, forage",well- covered,,,puits non proteg‚,,tanker truck/peddler,,"pond,lake",,,well /spring inside,,,
indoor faucet,public tap treated,pump,ÿprotected external well                  {from 23},,,puits non proteg‚e,,tanker truck/water vendor,,"pond,river or stream",,,well in compound,,,
Indoor Plumbing,public tap untreated,Pump,ÿprotected public well                    {from 22},,,puits non protégé,,tanker vendor,,Pond/ Lake,,,well in dwelling,,,
indoor plumbing,public tap water,pump (out of conc),ÿprotected well in residence/yard/plot    {from 21},,,Puits ordinaires,,"tanker,truck,other v",,pond/ lake,,,well in residence /garden,,,
indoor tap/pipe,Public tap water,Pump well,protected well into yard/plot ,,,puits public,,Tanker-Truck,,pond/dam/lake,,,well in residence/yard/plot,,,
Inside Tap,public tap/ standpipe,pumped well,others protected well,,,puits sans pompe,,tanker-truck,,Pond/Dam/Lake,,,well inside dwelling,,,
Into dwelling pipe,Public tap/basin/tank,pumps,protected well  to yard ,,,puits trad.prot‚g‚ ou non prot‚g‚,,tanker-truck vendor,,Pond/Dighi,,,Wells(in hh),,,
Jet/stream exclusive use,public tap/stand-pipe,Shallow tubewell,"protected well, hand pump ",,,puits.public/priv.,,"tanker-truck, vendor",,Pond/Ditch/Canal/River,,,ÿwell in residence/yard/plot,,,
